Entry	CAZy
A0A0B5JC15	
B3A0S5	
B3VSG7	GH11;
B8YG19	GH11;
D5EY13	GH10;
G0RUP7	GH11;
G2X4G0	
I1RII8	
P07986	CBM2;GH10;
P36217	GH11;
P36218	GH11;
P55330	GH11;
P83513	CBM36;GH11;
Q00177	GH10;
Q59675	CBM15;GH10;
Q8GJ44	CBM6;GH11;
Q8J0K5	CBM1;GH11;
Q9HFH0	GH11;
A0A1P8AWH8	CBM22;GH10;
A0A1Q3ENW5	
A0A1Q3ENX9	
A0A1V8TFR2	
A0A2U7QU15	
A0A2U7R6V5	
A0A370TAI7	
A0AA37LP00	
A0AAD7U0W4	
A3DH97	GH10;
A8TGA1	CBM1;GH11;
B4XVN1	CBM2;GH10;
B7SIW1	CBM1;GH11;
B7SIW2	CBM1;GH10;
C6CRV0	CBM22;CBM9;GH10;
D7EZJ3	CBM2;GH11;
E7EF85	CBM1;GH11;
G4MLU0	GH10;
I1RQU5	
I1S2K3	
I1S3C6	
I1S3T9	
M4MEY9	
M4MGK7	
M4MLB5	
O43097	GH11;
O69231	GH10;
O74716	GH11;
O94163	GH10;
P0CT48	GH11;
P23030	CBM2;CBM35;GH10;
P23360	GH10;
P26220	GH11;
P26514	CBM13;GH10;
P26515	CBM2;GH11;
P28621	GH5;
P29417	GH10;
P33557	GH11;
P33559	GH10;
P36917	CBM22;CBM9;GH10;
P54865	CBM2;GH11;
P55329	GH11;
P55332	GH11;
P55333	GH11;
P56588	GH10;
P84195	GH10;
Q01176	GH10;
Q02290	CBM1;GH10;
Q12550	GH11;
Q12667	GH11;
Q2LMP0	GH11;
Q2PGV8	GH10;
Q2PGY1	GH11;
Q4P0L3	
Q4WG11	GH11;
Q53317	CBM22;GH11;GH16;
Q59674	CBM10;CBM60;GH11;
Q5ZNB1	CBM1;GH10;
Q6PRW6	GH10;
Q8J1Y4	
Q8NJ73	
Q96VB6	GH10;
Q96W72	GH11;
Q9HEZ1	CBM1;GH10;
Q9HFA4	GH11;
Q9P8J1	GH10;
Q9UV68	CBM1;GH11;
Q9UVF9	GH11;
V9TS54	
V9TXH2	
W0HJ53	GH11;
A0A024SIB3	
A0A067C1G7	
A0A084ANA0	
A0A093UT50	
A0A0A7CN83	
A0A0A8LEC5	
A0A0A8LEC6	
A0A0A8LED7	
A0A0A8LEZ6	
A0A0A8LF16	
A0A0A8LFA3	
A0A0A8LFE1	
A0A0A8LFN8	
A0A0A8LFP7	
A0A0C5VK03	
A0A0F4JDE3	
A0A0F8VED7	
A0A0F8WUT9	
A0A0G4KL96	
A0A0G4KP99	
A0A0G4M6I8	
